/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 1: Reward -14.0, Steps -1
Episode 2: Reward -16.0, Steps -1
Episode 3: Reward -16.160000000000004, Steps -1
Episode 4: Reward -16.160000000000004, Steps -1
Episode 5: Reward -16.160000000000004, Steps -1
Episode 6: Reward -16.160000000000004, Steps -1
Episode 7: Reward -16.160000000000004, Steps -1
Episode 8: Reward -16.160000000000004, Steps -1
Episode 9: Reward -16.160000000000004, Steps -1
Episode 10: Reward -16.160000000000004, Steps -1
Episode 11: Reward -16.160000000000004, Steps -1
Episode 12: Reward -16.160000000000004, Steps -1
Episode 13: Reward -16.160000000000004, Steps -1
Episode 14: Reward -16.160000000000004, Steps -1
Episode 15: Reward -16.160000000000004, Steps -1
Episode 16: Reward -16.160000000000004, Steps -1
Episode 17: Reward -16.160000000000004, Steps -1
Episode 18: Reward -16.160000000000004, Steps -1
Episode 19: Reward -16.160000000000004, Steps -1
Episode 20: Reward -16.160000000000004, Steps -1
Episode 21: Reward -16.160000000000004, Steps -1
Episode 22: Reward -16.160000000000004, Steps -1
Episode 23: Reward -16.160000000000004, Steps -1
Episode 24: Reward -16.160000000000004, Steps -1
Episode 25: Reward -16.160000000000004, Steps -1
Episode 26: Reward -16.160000000000004, Steps -1
Episode 27: Reward -16.160000000000004, Steps -1
Episode 28: Reward -16.160000000000004, Steps -1
Episode 29: Reward -16.160000000000004, Steps -1
Episode 30: Reward -16.160000000000004, Steps -1
Episode 31: Reward -16.160000000000004, Steps -1
Episode 32: Reward -16.160000000000004, Steps -1
Episode 33: Reward -16.160000000000004, Steps -1
Episode 34: Reward -16.160000000000004, Steps -1
Episode 35: Reward -16.160000000000004, Steps -1
Episode 36: Reward -16.160000000000004, Steps -1
Episode 37: Reward -16.160000000000004, Steps -1
Episode 38: Reward -16.160000000000004, Steps -1
Episode 39: Reward -16.160000000000004, Steps -1
Episode 40: Reward -16.160000000000004, Steps -1
Episode 41: Reward -16.160000000000004, Steps -1
Episode 42: Reward -16.160000000000004, Steps -1
Episode 43: Reward -16.160000000000004, Steps -1
Episode 44: Reward -16.160000000000004, Steps -1
Episode 45: Reward -16.160000000000004, Steps -1
Episode 46: Reward -16.160000000000004, Steps -1
Episode 47: Reward -16.160000000000004, Steps -1
Episode 48: Reward -16.160000000000004, Steps -1
Episode 49: Reward -16.160000000000004, Steps -1
Episode 50: Reward -16.160000000000004, Steps -1
Episode 51: Reward -16.160000000000004, Steps -1
Episode 52: Reward -16.160000000000004, Steps -1
Episode 53: Reward -16.160000000000004, Steps -1
Episode 54: Reward -16.160000000000004, Steps -1
Episode 55: Reward -16.160000000000004, Steps -1
Episode 56: Reward -16.160000000000004, Steps -1
Episode 57: Reward -16.160000000000004, Steps -1
Episode 58: Reward -16.160000000000004, Steps -1
Episode 59: Reward -16.160000000000004, Steps -1
Episode 60: Reward -16.160000000000004, Steps -1
Episode 61: Reward -16.160000000000004, Steps -1
Episode 62: Reward -16.160000000000004, Steps -1
Episode 63: Reward -16.160000000000004, Steps -1
Episode 64: Reward -16.160000000000004, Steps -1
Episode 65: Reward -16.160000000000004, Steps -1
Episode 66: Reward -16.160000000000004, Steps -1
Episode 67: Reward -16.160000000000004, Steps -1
Episode 68: Reward -16.160000000000004, Steps -1
Episode 69: Reward -16.160000000000004, Steps -1
Episode 70: Reward -16.160000000000004, Steps -1
Episode 71: Reward -16.160000000000004, Steps -1
Episode 72: Reward -16.160000000000004, Steps -1
Episode 73: Reward -16.160000000000004, Steps -1
Episode 74: Reward -16.160000000000004, Steps -1
Episode 75: Reward -16.160000000000004, Steps -1
Episode 76: Reward -16.160000000000004, Steps -1
Episode 77: Reward -16.160000000000004, Steps -1
Episode 78: Reward -16.160000000000004, Steps -1
Episode 79: Reward -16.160000000000004, Steps -1
Episode 80: Reward -16.160000000000004, Steps -1
Episode 81: Reward -16.160000000000004, Steps -1
Episode 82: Reward -16.160000000000004, Steps -1
Episode 83: Reward -16.160000000000004, Steps -1
Episode 84: Reward -16.160000000000004, Steps -1
Episode 85: Reward -16.160000000000004, Steps -1
Episode 86: Reward -16.160000000000004, Steps -1
Episode 87: Reward -16.160000000000004, Steps -1
Episode 88: Reward -16.160000000000004, Steps -1
Episode 89: Reward -16.160000000000004, Steps -1
Episode 90: Reward -16.160000000000004, Steps -1
Episode 91: Reward -16.160000000000004, Steps -1
Episode 92: Reward -16.160000000000004, Steps -1
Episode 93: Reward -16.160000000000004, Steps -1
Episode 94: Reward -16.160000000000004, Steps -1
Episode 95: Reward -16.160000000000004, Steps -1
Episode 96: Reward -16.160000000000004, Steps -1
Episode 97: Reward -16.160000000000004, Steps -1
Episode 98: Reward -16.160000000000004, Steps -1
Episode 99: Reward -16.160000000000004, Steps -1
Episode 100: Reward -16.160000000000004, Steps -1
Episode 101: Reward -16.160000000000004, Steps -1
Episode 102: Reward -16.160000000000004, Steps -1
Episode 103: Reward -16.160000000000004, Steps -1
Episode 104: Reward -16.160000000000004, Steps -1
Episode 105: Reward -16.160000000000004, Steps -1
Episode 106: Reward -16.160000000000004, Steps -1
Episode 107: Reward -16.160000000000004, Steps -1
Episode 108: Reward -16.160000000000004, Steps -1
Episode 109: Reward -16.160000000000004, Steps -1
Episode 110: Reward -16.160000000000004, Steps -1
Episode 111: Reward -16.160000000000004, Steps -1
Episode 112: Reward -16.160000000000004, Steps -1
Episode 113: Reward -16.160000000000004, Steps -1
Episode 114: Reward -16.160000000000004, Steps -1
Episode 115: Reward -16.160000000000004, Steps -1
Episode 116: Reward -16.160000000000004, Steps -1
Episode 117: Reward -16.160000000000004, Steps -1
Episode 118: Reward -16.160000000000004, Steps -1
Episode 119: Reward -16.160000000000004, Steps -1
Episode 120: Reward -16.160000000000004, Steps -1
Episode 121: Reward -16.160000000000004, Steps -1
Episode 122: Reward -16.160000000000004, Steps -1
Episode 123: Reward -16.160000000000004, Steps -1
Episode 124: Reward -16.160000000000004, Steps -1
