/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 1: Reward 0.3333333333333333, Steps -1
Episode 2: Reward 0.6633333333333333, Steps -1
Episode 3: Reward 0.9714333333333333, Steps -1
Episode 4: Reward 1.2154593333333332, Steps -1
Episode 5: Reward 1.4058611733333333, Steps -1
Episode 6: Reward 1.556045614233333, Steps -1
Episode 7: Reward 1.675477822500333, Steps -1
Episode 8: Reward 1.7708598873476733, Steps -1
Episode 9: Reward 1.8472291144269428, Steps -1
Episode 10: Reward 1.908441402766785, Steps -1
Episode 11: Reward 1.9575305082853143, Steps -1
Episode 12: Reward 1.9969055084152645, Steps -1
Episode 13: Reward 2.028489105707634, Steps -1
Episode 14: Reward 2.0540151407907112, Steps -1
Episode 15: Reward 2.0749848326636213, Steps -1
Episode 16: Reward 2.0922761171986224, Steps -1
Episode 17: Reward 2.1065694854090173, Steps -1
Episode 18: Reward 2.1184042179402036, Steps -1
Episode 19: Reward 2.128213925214414, Steps -1
Episode 20: Reward 2.136350829146036, Steps -1
Episode 21: Reward 2.143103131840973, Steps -1
Episode 22: Reward 2.1487078694226294, Steps -1
Episode 23: Reward 2.153360693694359, Steps -1
Episode 24: Reward 2.1572234892735596, Steps -1
Episode 25: Reward 2.160430415656771, Steps -1
Episode 26: Reward 2.1630927686935095, Steps -1
Episode 27: Reward 2.1653029338718963, Steps -1
Episode 28: Reward 2.167137625727141, Steps -1
Episode 29: Reward 2.1686605564641126, Steps -1
Episode 30: Reward 2.169924642294596, Steps -1
Episode 31: Reward 2.1709738318565845, Steps -1
Episode 32: Reward 2.171844623665912, Steps -1
Episode 33: Reward 2.1725673265640486, Steps -1
Episode 34: Reward 2.173167107156903, Steps -1
Episode 35: Reward 2.1736648603994424, Steps -1
Episode 36: Reward 2.1740779331976303, Steps -1
Episode 37: Reward 2.1744207257928663, Steps -1
Episode 38: Reward 2.1747051915034787, Steps -1
Episode 39: Reward 2.1749412519361195, Steps -1
Episode 40: Reward 2.175137141908401, Steps -1
Episode 41: Reward 2.175299695936277, Steps -1
Episode 42: Reward 2.1754345861514235, Steps -1
Episode 43: Reward 2.1755465198573103, Steps -1
Episode 44: Reward 2.1756394035524096, Steps -1
Episode 45: Reward 2.175716479099045, Steps -1
Episode 46: Reward 2.175780436758722, Steps -1
Episode 47: Reward 2.1758335090175254, Steps -1
Episode 48: Reward 2.1758775484617097, Steps -1
Episode 49: Reward 2.1759140924117677, Steps -1
Episode 50: Reward 2.1759444165643753, Steps -1
Episode 51: Reward 2.1759695795101663, Steps -1
Episode 52: Reward 2.175990459678344, Steps -1
Episode 53: Reward 2.1760077859957843, Steps -1
Episode 54: Reward 2.176022163329568, Steps -1
Episode 55: Reward 2.176034093600242, Steps -1
Episode 56: Reward 2.1760439933022693, Steps -1
Episode 57: Reward 2.176052208042937, Steps -1
Episode 58: Reward 2.176059024607002, Steps -1
Episode 59: Reward 2.176064680968111, Steps -1
Episode 60: Reward 2.1760693745963713, Steps -1
Episode 61: Reward 2.176073269352039, Steps -1
Episode 62: Reward 2.17607650120593, Steps -1
Episode 63: Reward 2.176079182986241, Steps -1
Episode 64: Reward 2.1760814083174593, Steps -1
Episode 65: Reward 2.1760832548888818, Steps -1
Episode 66: Reward 2.1760847871668223, Steps -1
Episode 67: Reward 2.176086058645205, Steps -1
Episode 68: Reward 2.176087113713094, Steps -1
Episode 69: Reward 2.1760879892043765, Steps -1
Episode 70: Reward 2.1760887156836732, Steps -1
Episode 71: Reward 2.1760893185133936, Steps -1
Episode 72: Reward 2.17608981873917, Steps -1
Episode 73: Reward 2.1760902338245867, Steps -1
Episode 74: Reward 2.1760905782608617, Steps -1
Episode 75: Reward 2.176090864072751, Steps -1
Episode 76: Reward 2.1760911012383506, Steps -1
Episode 77: Reward 2.1760912980374476, Steps -1
Episode 78: Reward 2.176091461340577, Steps -1
Episode 79: Reward 2.176091596848881, Steps -1
Episode 80: Reward 2.1760917092931473, Steps -1
Episode 81: Reward 2.1760918025989637, Steps -1
Episode 82: Reward 2.176091880023769, Steps -1
Episode 83: Reward 2.1760919442705724, Steps -1
Episode 84: Reward 2.176091997582321, Steps -1
Episode 85: Reward 2.176092041820203, Steps -1
Episode 86: Reward 2.176092078528627, Steps -1
Episode 87: Reward 2.1760921089891347, Steps -1
Episode 88: Reward 2.176092134265146, Steps -1
Episode 89: Reward 2.176092155239082, Steps -1
Episode 90: Reward 2.1760921726431732, Steps -1
Episode 91: Reward 2.1760921870850205, Steps -1
Episode 92: Reward 2.176092199068809, Steps -1
Episode 93: Reward 2.176092209012911, Steps -1
Episode 94: Reward 2.176092217264488, Steps -1
Episode 95: Reward 2.1760922241116147, Steps -1
Episode 96: Reward 2.1760922297933334, Steps -1
Episode 97: Reward 2.176092234508002, Steps -1
Episode 98: Reward 2.1760922384202157, Steps -1
Episode 99: Reward 2.176092241666556, Steps -1
Episode 100: Reward 2.1760922443603556, Steps -1
Episode 101: Reward 2.176092246595661, Steps -1
Episode 102: Reward 2.176092248450508, Steps -1
Episode 103: Reward 2.1760922499896536, Steps -1
Episode 104: Reward 2.17609225126683, Steps -1
