/Users/MCN/Documents/github/academics/CS760/HW7/HW7_base/Results/out.csv
Domain state space is Discrete(16)
Domain action space is Discrete(4)
Episode 1: Reward 0.3333333333333333, Steps -1
Episode 2: Reward 0.5092592592592593, Steps -1
Episode 3: Reward 0.5902777777777777, Steps -1
Episode 4: Reward 0.6201560356652949, Steps -1
Episode 5: Reward 0.6310235990448609, Steps -1
Episode 6: Reward 0.6350468014823141, Steps -1
Episode 7: Reward 0.6365473748803274, Steps -1
Episode 8: Reward 0.6371056248300502, Steps -1
Episode 9: Reward 0.6373119279982211, Steps -1
Episode 10: Reward 0.6373876349181683, Steps -1
Episode 11: Reward 0.6374152579625509, Steps -1
Episode 12: Reward 0.6374252969368466, Steps -1
Episode 13: Reward 0.6374289375409257, Steps -1
Episode 14: Reward 0.6374302571158329, Steps -1
Episode 15: Reward 0.637430735833363, Steps -1
Episode 16: Reward 0.6374309098578017, Steps -1
Episode 17: Reward 0.6374309733066738, Steps -1
Episode 18: Reward 0.6374309965244428, Steps -1
Episode 19: Reward 0.6374310050556717, Steps -1
Episode 20: Reward 0.6374310082043603, Steps -1
Episode 21: Reward 0.6374310093718102, Steps -1
Episode 22: Reward 0.6374310098066628, Steps -1
Episode 23: Reward 0.6374310099693672, Steps -1
Episode 24: Reward 0.6374310100305076, Steps -1
Episode 25: Reward 0.6374310100535765, Steps -1
Episode 26: Reward 0.6374310100623135, Steps -1
Episode 27: Reward 0.637431010065634, Steps -1
Episode 28: Reward 0.6374310100669001, Steps -1
Episode 29: Reward 0.637431010067384, Steps -1
Episode 30: Reward 0.6374310100675695, Steps -1
Episode 31: Reward 0.6374310100676409, Steps -1
Episode 32: Reward 0.6374310100676682, Steps -1
Episode 33: Reward 0.6374310100676788, Steps -1
Episode 34: Reward 0.6374310100676829, Steps -1
Episode 35: Reward 0.6374310100676845, Steps -1
Episode 36: Reward 0.6374310100676851, Steps -1
Episode 37: Reward 0.6374310100676853, Steps -1
Episode 38: Reward 0.6374310100676854, Steps -1
Episode 39: Reward 0.6374310100676854, Steps -1
Episode 40: Reward 0.6374310100676854, Steps -1
Episode 41: Reward 0.6374310100676854, Steps -1
Episode 42: Reward 0.6374310100676854, Steps -1
Episode 43: Reward 0.6374310100676854, Steps -1
Episode 44: Reward 0.6374310100676854, Steps -1
Episode 45: Reward 0.6374310100676854, Steps -1
Episode 46: Reward 0.6374310100676854, Steps -1
Episode 47: Reward 0.6374310100676854, Steps -1
Episode 48: Reward 0.6374310100676854, Steps -1
Episode 49: Reward 0.6374310100676854, Steps -1
Episode 50: Reward 0.6374310100676854, Steps -1
Episode 51: Reward 0.6374310100676854, Steps -1
Episode 52: Reward 0.6374310100676854, Steps -1
Episode 53: Reward 0.6374310100676854, Steps -1
Episode 54: Reward 0.6374310100676854, Steps -1
Episode 55: Reward 0.6374310100676854, Steps -1
Episode 56: Reward 0.6374310100676854, Steps -1
Episode 57: Reward 0.6374310100676854, Steps -1
Episode 58: Reward 0.6374310100676854, Steps -1
Episode 59: Reward 0.6374310100676854, Steps -1
Episode 60: Reward 0.6374310100676854, Steps -1
Episode 61: Reward 0.6374310100676854, Steps -1
Episode 62: Reward 0.6374310100676854, Steps -1
Episode 63: Reward 0.6374310100676854, Steps -1
Episode 64: Reward 0.6374310100676854, Steps -1
Episode 65: Reward 0.6374310100676854, Steps -1
Episode 66: Reward 0.6374310100676854, Steps -1
Episode 67: Reward 0.6374310100676854, Steps -1
Episode 68: Reward 0.6374310100676854, Steps -1
Episode 69: Reward 0.6374310100676854, Steps -1
Episode 70: Reward 0.6374310100676854, Steps -1
Episode 71: Reward 0.6374310100676854, Steps -1
Episode 72: Reward 0.6374310100676854, Steps -1
Episode 73: Reward 0.6374310100676854, Steps -1
Episode 74: Reward 0.6374310100676854, Steps -1
Episode 75: Reward 0.6374310100676854, Steps -1
Episode 76: Reward 0.6374310100676854, Steps -1
Episode 77: Reward 0.6374310100676854, Steps -1
Episode 78: Reward 0.6374310100676854, Steps -1
Episode 79: Reward 0.6374310100676854, Steps -1
Episode 80: Reward 0.6374310100676854, Steps -1
Episode 81: Reward 0.6374310100676854, Steps -1
Episode 82: Reward 0.6374310100676854, Steps -1
Episode 83: Reward 0.6374310100676854, Steps -1
Episode 84: Reward 0.6374310100676854, Steps -1
Episode 85: Reward 0.6374310100676854, Steps -1
Episode 86: Reward 0.6374310100676854, Steps -1
Episode 87: Reward 0.6374310100676854, Steps -1
Episode 88: Reward 0.6374310100676854, Steps -1
Episode 89: Reward 0.6374310100676854, Steps -1
Episode 90: Reward 0.6374310100676854, Steps -1
Episode 91: Reward 0.6374310100676854, Steps -1
Episode 92: Reward 0.6374310100676854, Steps -1
Episode 93: Reward 0.6374310100676854, Steps -1
Episode 94: Reward 0.6374310100676854, Steps -1
Episode 95: Reward 0.6374310100676854, Steps -1
Episode 96: Reward 0.6374310100676854, Steps -1
Episode 97: Reward 0.6374310100676854, Steps -1
Episode 98: Reward 0.6374310100676854, Steps -1
Episode 99: Reward 0.6374310100676854, Steps -1
Episode 100: Reward 0.6374310100676854, Steps -1
Episode 101: Reward 0.6374310100676854, Steps -1
Episode 102: Reward 0.6374310100676854, Steps -1
Episode 103: Reward 0.6374310100676854, Steps -1
Episode 104: Reward 0.6374310100676854, Steps -1
Episode 105: Reward 0.6374310100676854, Steps -1
Episode 106: Reward 0.6374310100676854, Steps -1
Episode 107: Reward 0.6374310100676854, Steps -1
Episode 108: Reward 0.6374310100676854, Steps -1
Episode 109: Reward 0.6374310100676854, Steps -1
Episode 110: Reward 0.6374310100676854, Steps -1
Episode 111: Reward 0.6374310100676854, Steps -1
Episode 112: Reward 0.6374310100676854, Steps -1
Episode 113: Reward 0.6374310100676854, Steps -1
Episode 114: Reward 0.6374310100676854, Steps -1
Episode 115: Reward 0.6374310100676854, Steps -1
Episode 116: Reward 0.6374310100676854, Steps -1
Episode 117: Reward 0.6374310100676854, Steps -1
Episode 118: Reward 0.6374310100676854, Steps -1
Episode 119: Reward 0.6374310100676854, Steps -1
Episode 120: Reward 0.6374310100676854, Steps -1
Episode 121: Reward 0.6374310100676854, Steps -1
Episode 122: Reward 0.6374310100676854, Steps -1
Episode 123: Reward 0.6374310100676854, Steps -1
Episode 124: Reward 0.6374310100676854, Steps -1
Episode 125: Reward 0.6374310100676854, Steps -1
Episode 126: Reward 0.6374310100676854, Steps -1
Episode 127: Reward 0.6374310100676854, Steps -1
Episode 128: Reward 0.6374310100676854, Steps -1
Episode 129: Reward 0.6374310100676854, Steps -1
Episode 130: Reward 0.6374310100676854, Steps -1
Episode 131: Reward 0.6374310100676854, Steps -1
Episode 132: Reward 0.6374310100676854, Steps -1
Episode 133: Reward 0.6374310100676854, Steps -1
Episode 134: Reward 0.6374310100676854, Steps -1
Episode 135: Reward 0.6374310100676854, Steps -1
Episode 136: Reward 0.6374310100676854, Steps -1
Episode 137: Reward 0.6374310100676854, Steps -1
Episode 138: Reward 0.6374310100676854, Steps -1
Episode 139: Reward 0.6374310100676854, Steps -1
Episode 140: Reward 0.6374310100676854, Steps -1
Episode 141: Reward 0.6374310100676854, Steps -1
Episode 142: Reward 0.6374310100676854, Steps -1
Episode 143: Reward 0.6374310100676854, Steps -1
Episode 144: Reward 0.6374310100676854, Steps -1
Episode 145: Reward 0.6374310100676854, Steps -1
Episode 146: Reward 0.6374310100676854, Steps -1
Episode 147: Reward 0.6374310100676854, Steps -1
Episode 148: Reward 0.6374310100676854, Steps -1
Episode 149: Reward 0.6374310100676854, Steps -1
